timestamp,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel
17.225,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
17.227,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
17.229,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2308,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2326,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
17.2345,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2365,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2386,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2405,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,0.00732803
17.2427,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.250821,-0.0219784
17.2447,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2466,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.250821,-0.00732613
17.2486,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.0219784,0.0329981,0.00732613,0.250821,-0.00732613
17.2505,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,-0.00732803,0.0329981,0.00732613,0.250821,-0.00732613
17.2525,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2545,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,0.00732803
17.2565,-0.0455866,-0.00732613,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,-0.00732613
17.2586,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,-0.00732803,0.251203,-0.00732613
17.2606,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,0.00732613,0.250821,0.00732803
17.2625,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0329981,-0.00732803,0.250821,-0.00732613
17.2646,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0780125,0.00732613,0.0329981,0.00732613,0.250821,0.00732803
17.2667,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0326166,0.00732613,0.251203,-0.00732613
